Nov 05 21:47:23 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:25 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:27 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:29 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:31 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:33 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:35 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:37 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:39 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:41 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:43 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:45 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:47 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:49 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:51 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:53 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:55 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:57 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:47:59 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:01 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:03 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:05 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:07 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:09 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:11 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:13 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:15 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:17 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:19 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:21 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:23 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:25 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:27 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:29 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:31 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:33 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:35 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:37 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
